DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA
2022-01-01 00:00:03,219019621,56.12651,12.30908,86,0,86,15,0,LADY SEA H55,XP3326,30,4,5,2,2,0,,
2022-01-01 00:00:08,219002585,56.12815,12.3095,0,0,511,0,0,SOEFELT,XP2732,30,0,0,0,0,0,,
2022-01-01 00:00:10,219015336,55.6426,12.54178,161.2,0,511,0,0,MAIMUNA,XPB9952,37,5,5,1,2,0,,
2022-01-01 00:00:22,219005134,55.72599,12.58609,144.1,0,511,0,0,JOKITI,XPD5089,37,0,0,0,0,0,,
2022-01-01 00:00:22,219026251,55.59423,12.35503,360,0,511,15,0,EMMA,XPH4982,37,3,6,2,2,0,,
2022-01-01 00:00:24,219006008,55.69552,12.61164,0,0,511,15,0,NATTERGALEN,XP6180,60,1,19,3,3,0,,
2022-01-01 00:00:34,219006387,55.69535,12.61221,0,0,511,15,0,SVINEDRENGEN,XPC8692,60,1,19,3,3,0,,
2022-01-01 00:00:38,219023018,55.68902,12.61872,354.1,0,511,0,0,FRU A,XPH2016,36,12,0,0,4,0,,
2022-01-01 00:00:42,219022389,55.7605,12.60349,173.9,0,105,5,9778698,POSEIDON,OWER,37,19,8,4,3,2,SKOVSHOVED,09-02 16:30
2022-01-01 00:00:44,219012894,56.06684,12.27164,360,0,511,15,0,TEAM VESTERGAARD,XPD9484,37,3,3,1,1,0,,
2022-01-01 00:00:50,219006916,55.59396,12.67721,190.1,0,511,15,0,RI322 SINNE FRIHED,OU7665,30,10,5,2,3,3,,
2022-01-01 00:00:58,219006221,55.69547,12.61204,15.3,0,511,0,0,TINSOLDATEN,XPD3485,60,1,19,3,3,0,,
2022-01-01 00:00:58,219021258,55.67944,12.6352,360,0.1,511,15,0,CMP PROVESTENEN,XPE7561,51,5,4,2,1,0,,
2022-01-01 00:00:59,219009871,55.76282,12.60168,354.4,0,511,0,0,POSEIDON,XPD7586,36,9,2,2,1,1.8,OERESUND,07-04 15:02
2022-01-01 00:01:00,265811820,55.58487,12.91467,360,0,511,15,0,SEAWITCH 5,8SY7904,36,4,6,3,0,0,,
2022-01-01 00:01:01,220226000,56.12681,12.3089,0,0,511,5,0,MISSOURI,OURE,37,0,0,0,0,2,GILLELEJE,
2022-01-01 00:01:02,219007511,56.12587,12.30955,13.3,0,511,15,0,H 57 MALENE,XP2894,30,6,2,2,2,0,,
2022-01-01 00:01:05,230129610,55.72648,12.58646,262.8,0,229,5,0,SWEET HOPE,OH7110,37,10,10,3,3,2.2,COPENHAGEN,12-06 17:00
2022-01-01 00:01:06,219014192,55.59359,12.67781,224.1,0,511,15,0,KR. FRIHED,OX2352,30,10,2,2,2,0,,
2022-01-01 00:01:08,219020900,55.68909,12.61773,185.7,0,511,0,0,HAILONG,OX2116,37,8,3,3,1,0,,
2022-01-01 00:01:10,219008361,56.12611,12.30978,360,0,511,15,0,JONATHAN,XP4514,37,7,1,2,1,0,,
2022-01-01 00:01:15,219015403,55.46995,12.19325,360,0,511,15,0,SONHO,OU7223,37,0,0,0,0,0,,
2022-01-01 00:01:15,244750825,55.16967,12.29533,145,0.2,263,1,9652090,RIMFAXE R,PCON,52,8,15,6,2,2.2,FAXE LADEPLADS,12-14 08:00
2022-01-01 00:01:16,219029104,55.72593,12.5859,360,0,511,15,0,BLUE OCEAN,OWBE,37,7,6,2,2,0,,
2022-01-01 00:01:19,219006478,56.03747,12.61501,244.6,0,324,5,0,DANPILOT POSEIDON,OU9152,50,10,6,2,2,1.5,C,
2022-01-01 00:01:29,219000174,55.5929,12.6799,283.1,0,223,5,0,MHV 911 BOPA,OVLK,35,0,0,0,0,2.5,UNKNOWN,
2022-01-01 00:01:30,255801580,55.85839,12.83225,0.1,0,76,5,9190157,AUTOPRESTIGE,CQQG,70,100,28,11,8,4.7,SEMMA TO SELAA,12-27 08:00
2022-01-01 00:01:32,219000189,55.75972,12.60251,226,0,181,5,0,MHV 809 ANTARES,OVMS,35,16,9,2,4,2.5,SKOVSHOVED,01-01 01:01
2022-01-01 00:01:33,219000158,56.03727,12.61573,222.9,0,146,5,0,MHV 906 FAENOE,OVLF,35,9,16,2,4,2.5,HELSINGOER,12-21 12:00
2022-01-01 00:01:33,219026210,55.66492,12.6325,360,0,511,15,0,DORA,XPH4941,37,6,0,1,1,0,,
2022-01-01 00:01:33,265765430,55.61578,12.9898,16.3,0,511,15,0,CASSIOPEIA,SE9848,37,4,6,2,1,0,,
2022-01-01 00:01:34,265518160,55.61358,12.99741,195.6,0.1,149,5,0,PILOT 738 SE,SHYV,50,10,7,3,2,1.5,,
2022-01-01 00:01:35,246575000,55.67571,12.6345,201.6,0,91,1,8882428,AJAX R,PCEZ,33,8,43,9,3,25,KOBENHVN - PROVESTEN,12-13 00:00
2022-01-01 00:01:36,219002981,55.71518,12.58769,18.7,0,511,0,0,TEMPTATION,XPD9026,36,9,4,2,2,0,,
2022-01-01 00:01:36,265572320,55.99301,12.74392,0,0,511,15,0,SIAM,SGIP,60,18,4,1,5,0,,
2022-01-01 00:01:37,219002639,55.45472,12.187,0,0,511,15,0,FRANK,5PJS,52,5,7,2,2,0,,
2022-01-01 00:01:37,219024402,55.60729,12.44219,20.2,0.3,511,0,0,SPIRIT,XPH3285,36,5,10,4,1,0,,
2022-01-01 00:01:37,266334000,55.61836,12.99977,285.3,0,111,5,9536600,KBV 034,SMPL,55,30,19,6,6,4,SE MMA>?? ???,09-14 00:00
2022-01-01 00:01:38,219023566,55.5937,12.35678,326,0,511,15,0,JOANNE,XPH2506,37,0,0,0,0,0,,
2022-01-01 00:01:40,219003121,55.68847,12.62328,219.2,0,511,5,0,AARSLEFF BARGE 104,OU8288,33,60,6,6,6,0.8,,
2022-01-01 00:01:41,219010076,55.7261,12.58628,360,0,511,0,0,BLUE EYES,OX2793,36,16,0,4,1,0,,
2022-01-01 00:01:43,219026305,55.69728,12.60846,360,0,511,0,0,CHRISTIANSHAVN,OYLC,60,8,16,2,4,0,,
2022-01-01 00:01:44,232006139,55.62449,13.03405,50.1,0,511,5,9813553,SOUND EXPRESS,MAOB7,40,20,6,5,5,2.2,MALMO,12-26 17:00
2022-01-01 00:01:45,219017191,55.6875,12.61506,340,0,511,15,0,MORNING WIND,XPE4407,37,6,6,2,2,0,,
2022-01-01 00:01:45,219007731,55.69588,12.61291,0,0,511,15,0,MB6,XPD6188,55,5,3,1,1,0,,
2022-01-01 00:01:45,219024678,55.56606,12.28548,360,0,511,15,0,CHILI,XPH3537,37,12,3,1,3,0,,
2022-01-01 00:01:45,219028618,55.60903,12.38806,303.8,0.1,511,15,0,BASSE,XPH7124,36,5,5,2,2,0,,
2022-01-01 00:01:45,219027700,56.12645,12.31294,360,0,511,15,0,SOEHOEJ,XPH6325,36,9,2,2,2,0,,
2022-01-01 00:01:46,219014412,55.71008,12.60223,276.7,0,112,5,8741818,SILJA,OXUX2,36,10,17,4,5,2.2,SURVEY,11-23 09:00
2022-01-01 00:01:47,219017886,55.74487,12.09655,360,0.4,511,0,0,SHANTI,XPE4891,37,11,7,1,4,0,,
